,0,1
0,"Номинальная мощность, кВА ",40000/40000/20000  
1,Схема и группа соединения обмоток ,IH АВТО/I -0-0      
2,NAN,NAN
3,"Номинальное напряжение обмотки ВН, В",230/√3 
4,"Номинальное напряжение обмотки СН, В",121 /√3 
5,"Номинальное напряжение обмотки НН, В",10.5
6,"Наибольшее рабочее напряжение ВН, кВ ",252/√3 
7,"Наибольшее рабочее напряжение СН, кВ ",126/√3 
8,"Наибольшее рабочее напряжение НН, кВ ",12
9," Номинальное напряжение нейтрали, кВ",35
10,"Ток холостого хода, %  ","0,4 ± 30% "
11,"Потери холостого хода, кВт  ",60
12,"Потери короткого замыкания, кВт  ", 
13,               ВН - СН,112
14,               ВН - НН,76
15,               СН - НН,90
16,NAN,
